_catalog_row,imdb_resolved_id,imdb_match_method,imdb_match_status,imdb_match_candidates
78609,tt12728856,exact_title_type_year,matched,1
78610,tt14250052,existing_imdb_id,matched,1
78611,,,not_found,0
78612,,,not_found,0
78613,tt13049906,existing_imdb_id,matched,1
78614,tt0209643,exact_title_type_year,matched,1
78615,tt3089630,existing_imdb_id,matched,1
78616,tt1758810,existing_imdb_id,matched,1
78617,tt30192600,existing_imdb_id,matched,1
78618,tt1822383,existing_imdb_id,matched,1
78619,tt1211656,existing_imdb_id,matched,1
78620,tt10253466,existing_imdb_id,matched,1
78621,tt3198956,exact_title_type_year,matched,1
78622,tt21097192,existing_imdb_id,matched,1
78623,tt0090530,exact_title_type_year,matched,1
78624,tt27432472,existing_imdb_id,matched,1
78625,tt1600746,exact_title_type_year,matched,1
78626,tt1635327,existing_imdb_id,matched,1
78627,tt1186342,existing_imdb_id,matched,1
78628,tt1535002,existing_imdb_id,matched,1
78629,tt1055136,existing_imdb_id,matched,1
78630,tt2647802,existing_imdb_id,matched,1
78631,tt1274409,existing_imdb_id,matched,1
78632,tt25872924,existing_imdb_id,matched,1
78633,tt1694040,exact_title_type_year,matched,1
78634,tt0074007,existing_imdb_id,matched,1
78635,tt0075572,existing_imdb_id,matched,1
78636,tt0075520,existing_imdb_id,matched,1
78637,tt0861751,existing_imdb_id,matched,1
78638,tt0213334,exact_title_type_year,matched,1
78639,tt2330912,existing_imdb_id,matched,1
78640,tt0089530,existing_imdb_id,matched,1
78641,tt18568228,existing_imdb_id,matched,1
78642,tt33741848,existing_imdb_id,matched,1
78643,tt10944486,existing_imdb_id,matched,1
78644,tt0211851,exact_title_type_year,matched,1
78645,tt1409004,existing_imdb_id,matched,1
78646,tt7319822,existing_imdb_id,matched,1
78647,tt0112193,existing_imdb_id,matched,1
78648,tt0756222,existing_imdb_id,matched,1
78649,tt2369754,existing_imdb_id,matched,1
78650,tt0204946,existing_imdb_id,matched,1
78651,tt0058625,existing_imdb_id,matched,1
78652,tt0416315,existing_imdb_id,matched,1
78653,,,not_found,0
78654,tt2883562,existing_imdb_id,matched,1
78655,tt2850332,existing_imdb_id,matched,1
78656,tt2215399,existing_imdb_id,matched,1
78657,tt2343137,existing_imdb_id,matched,1
78658,tt2382598,existing_imdb_id,matched,1
78659,tt2520946,existing_imdb_id,matched,1
78660,,existing_imdb_id,existing_id_not_in_title_basics,0
78661,tt0107616,existing_imdb_id,matched,1
78662,tt0054407,existing_imdb_id,matched,1
78663,tt0072542,exact_title_type_year,matched,1
78664,tt4294052,existing_imdb_id,matched,1
78665,tt0088517,exact_title_type_year,matched,1
78666,tt32359447,existing_imdb_id,matched,1
78667,tt0253754,existing_imdb_id,matched,1
