tconst,directors,writers
tt0039123,"nm0390776,nm2427430,nm0334353,nm0242409,nm1802165,nm0177034,nm0091575,nm0001351,nm2557729,nm0001486,nm1597596,nm0200022,nm0854358,nm9593554,nm0655197,nm0181011,nm0237848,nm1135694,nm0328837,nm0575546,nm0168641,nm0655889,nm0361875,nm0913224,nm0099589,nm0099592,nm0325476,nm9593573,nm0018354,nm2790357,nm9594138,nm0516093,nm0877069,nm0338719,nm0001430,nm0567471,nm0677951,nm0781751,nm0822570","nm1055756,nm0590316,nm0913670,nm0044801,nm0442151,nm1713452,nm0303335,nm0785245,nm0530972,nm0368719,nm0512231,nm1189292,nm0523385,nm1056753,nm3379143,nm0325267,nm0187108,nm0562606,nm0923735,nm0446403,nm0753249,nm0219068,nm0672906,nm0629862,nm0205244,nm1453856,nm0001351,nm1055755,nm0245943,nm0057157,nm0793309,nm0886668,nm0166209,nm0406585,nm0443260,nm1066006,nm0675729,nm0186600,nm3986610,nm0908624,nm9585741,nm0096395,nm0222164,nm0391514,nm0498979,nm0000636,nm0062299,nm0835632,nm0689638,nm1190774,nm0850483,nm5120995,nm0146918,nm0182689,nm0928068,nm0186918,nm0046296,nm1023688,nm0520981,nm0671117,nm0203286,nm0887966,nm0213138,nm0697362,nm0596942,nm1416589,nm1068227,nm0217325,nm4798878,nm0474984,nm0058129,nm0423357,nm0175091,nm0140950,nm0326117,nm0285210,nm0587852,nm0625680,nm0723418,nm0469915,nm0272209,nm0281331,nm0321898,nm0254641,nm0528530,nm0075344,nm0810367,nm0189405,nm0492982,nm0605923,nm0410331,nm0120190,nm0238898,nm0329304,nm0352443,nm9586557,nm0732845,nm0108833,nm1057726,nm0422017,nm0680698,nm0597175,nm9593977,nm1910295,nm9588174,nm0002042,nm0104572,nm0366610,nm2766117,nm0931783,nm5134705,nm0775149,nm2528937,nm1056742,nm0580703,nm0277807,nm0280234,nm0315216,nm0661763,nm0439922,nm0185614,nm9591076,nm0642156,nm0178763,nm0262213,nm0597574,nm1191299,nm0310775,nm0354150,nm0374352,nm0520520,nm0633684,nm1914989,nm0789947,nm0938445,nm0185297,nm0001430,nm0060196,nm1064816,nm0169540,nm0178476,nm0402805,nm0542531,nm0913014,nm8202749,nm0289787,nm1441515,nm0395041,nm0496746,nm0568674,nm1494020,nm4644649,nm0780833,nm0853138,nm0913244,nm0928492,nm0933491,nm0957652,nm0049721,nm0067103,nm0073595,nm0111577,nm9585692,nm0175194,nm0352506,nm0397608,nm0401886,nm0416556,nm0488066,nm0560857,nm0604544,nm0637040,nm15051368,nm3455515,nm0873432,nm0888996,nm1497202,nm0963342,nm0068393,nm0093397,nm0122446,nm9586044,nm0143837,nm0171413,nm0199304,nm0200685,nm0225469,nm0256221,nm0286163,nm0323766,nm0325386,nm0343422,nm14510967,nm9585788,nm0449805,nm1068211,nm0493071,nm0002616,nm0000050,nm0556571,nm0562892,nm0585502,nm0615065,nm9585793,nm0724419,nm0736418,nm9585933,nm15051579,nm10143347,nm0813915,nm15051584,nm3646160,nm18563223,nm0892045,nm0010063,nm0027173,nm0072478,nm9586239,nm0002005,nm0204717,nm0259972,nm0290863,nm2638484,nm15051654,nm15051655,nm2252997,nm0506349,nm0550855,nm0554917,nm0643375,nm0651585,nm1586543,nm0710723,nm0792845,nm15690751,nm0835830,nm0858501,nm0909484,nm0941233,nm0057381,nm7479541,nm0111576,nm0113689,nm0152157,nm0177034,nm0181779,nm0316807,nm0318275,nm0569389,nm15738617,nm0428219,nm0447295,nm4460709,nm1910921,nm1323401,nm4152898,nm0491964,nm15690889,nm0559921,nm0566333,nm0574110,nm3547149,nm12060488,nm15690867,nm0794107,nm0795229,nm0801991,nm0818416,nm0866243,nm0878494,nm0887988,nm15738618,nm0030706,nm15691025,nm0037758,nm0062139,nm0077056,nm0001986,nm3071595,nm0834752,nm0156726,nm1498816,nm7730637,nm0203753,nm0285672,nm0332539,nm0458691,nm0532296,nm6217651,nm0002316,nm2492211,nm0641407,nm0745444,nm15690928,nm2431485,nm0923333,nm7264412,nm0047143,nm0063481,nm1005949,nm5125667,nm1497212,nm0287506,nm15698401,nm0355315,nm0361154,nm15701148,nm0504054,nm9588975,nm0516810,nm0589339,nm0633426,nm0655499,nm0685063,nm0716958,nm0724504,nm0726405,nm0731409,nm2771918,nm0792670,nm10673738,nm15701188,nm0000807,nm0057494,nm0058856,nm0069410,nm3085990,nm9590593,nm0140902,nm1491924,nm0232194,nm0241414,nm9589019,nm0308594,nm3153168,nm0370426,nm0371193,nm0436894,nm0436896,nm0213991,nm2775409,nm0492692,nm1371439,nm0715564,nm0767902,nm0829044,nm9590728,nm0880449,nm3381248,nm4169222,nm0073882,nm9590963,nm0137999,nm0167769,nm0207520,nm0213441,nm3327353,nm1074155,nm0281868,nm0317254,nm0319148,nm1189494,nm9591668,nm0401738,nm9590953,nm0448188,nm1445687,nm9591755,nm0490950,nm9591249,nm9591000,nm0650262,nm0663553,nm0665875,nm0776068,nm9591293,nm6762453,nm8031215,nm0920890,nm0021504,nm0001907,nm9593759,nm1557864,nm0262215,nm0262412,nm1189293,nm0307642,nm0309380,nm0319663,nm0333850,nm0333858,nm0370152,nm0370252,nm0377958,nm0379052,nm0413352,nm0441328,nm0448123,nm0509398,nm0533240,nm1057754,nm1066093,nm9592915,nm0860565,nm11544960,nm9593565,nm0071286,nm1154681,nm0155871,nm1198517,nm0211315,nm9594276,nm9593973,nm0249250,nm0989215,nm0989216,nm0275848,nm1491928,nm15730669,nm0371122,nm0372677,nm0386678,nm0432728,nm1195554,nm9594151,nm0694209,nm14552517,nm1190881,nm9593979,nm0759415,nm0818961,nm0828562,nm1014217,nm0888993,nm0936536,nm7663785,nm0035655,nm0039712,nm9596567,nm0049157,nm9596579,nm0107448,nm0146896,nm1194242,nm0219281,nm0228392,nm9596596,nm0275954,nm0317954,nm0002133,nm1194806,nm0396229,nm0437320,nm1195400,nm1707659,nm0585813,nm0582837,nm1195810,nm0718448,nm0835880,nm2217142,nm7154378,nm0908526,nm7154379,nm0934574,nm0070948"
tt0039125,"nm0484645,nm0251998",
tt0039628,nm0780833,"nm0780833,nm0204016"
tt0039822,nm0578483,"nm0893736,nm0578483"
tt0040021,"nm0696296,nm0781751,nm0912998,nm0542702,nm0000989,nm5625137","nm0048758,nm1497206,nm0070948,nm0116693,nm0129708,nm0175028,nm1023688,nm1499103,nm0293512,nm0303335,nm1494805,nm2161805,nm0321898,nm0325267,nm0331003,nm1441496,nm1441497,nm1492861,nm1492864,nm0339872,nm0362762,nm1491929,nm0366610,nm0370697,nm0372942,nm0378947,nm0437320,nm0464767,nm0488066,nm0523365,nm0545341,nm0996073,nm0597175,nm14133842,nm0000590,nm0697362,nm0705174,nm0706995,nm0734911,nm14133789,nm0764588,nm0765490,nm0768465,nm0775977,nm0789675,nm0789758,nm0824699,nm0837183,nm0862122,nm0920229,nm0922306,nm0928492,nm0931783,nm2950647,nm0409997,nm2950618"
tt0040035,,
tt0040041,"nm0308417,nm0000926,nm0143653,nm0370749,nm0809967","nm0549359,nm0459708,nm0009640,nm0123611,nm0224723,nm0747826,nm0036372,nm0542337,nm0777129,nm0781547,nm0172337,nm1447468,nm0152900,nm0041697,nm1899014,nm1520544,nm0000683,nm0325482,nm0597578,nm0613732,nm0000926,nm0123242,nm0330038,nm0412913,nm0741911,nm0788483"
tt0040048,"nm0376033,nm1157487,nm0427775,nm0343431,nm0277878,nm0146768,nm1520544,nm0577477","nm0009640,nm0029712,nm0043853,nm0046322,nm0048511,nm0123611,nm0177608,nm0224723,nm1899014,nm0294989,nm0322817,nm1520544,nm0423583,nm0463171,nm0672632,nm0765109"
tt0040049,"nm0542720,nm0240378,nm0168641,nm0876317,nm0232401,nm0671957,nm0612322,nm0801000,nm0565724,nm0804973,nm0181011,nm0370749,nm0483582,nm0806915,nm0572876,nm0386619","nm0789675,nm1154897,nm0972416,nm0154665,nm2271388,nm2436797,nm0254641,nm0371614,nm0015899,nm2468873,nm0681052,nm0842582,nm0285210,nm0647483,nm6076419,nm0219068,nm0000636,nm0184107,nm0168641,nm0456628,nm0582837,nm0057381,nm0650581,nm2039700,nm0788565,nm0929024,nm0416556,nm0077159,nm1066093,nm0621783,nm1309831,nm0748111,nm0900570,nm1068237,nm0723418,nm0280234,nm0000807,nm2004611,nm1057726,nm0744577,nm0856758,nm0320069,nm0386678,nm1027890,nm0608399,nm0000683,nm0932229,nm0121667,nm0002042,nm0238898,nm0241414,nm0272209,nm0384795,nm0442151,nm0480459,nm1066006,nm0672906,nm0697362,nm0793309,nm0797482,nm0033764,nm8059893,nm3152104,nm1646461,nm7238365,nm0151452,nm0186118,nm0207843,nm0232616,nm1545989,nm1545990,nm3153115,nm0318030,nm0337837,nm1441515,nm0352506,nm0362992,nm3153168,nm0368719,nm0370426,nm0378540,nm0393613,nm0394109,nm0397608,nm0449728,nm1912807,nm0492692,nm0497209,nm0590316,nm0665875,nm0724575,nm0744562,nm0775977,nm0792670,nm0853130,nm0856842,nm0867356,nm0886668,nm8031215,nm0912111,nm0915047,nm0924187,nm0930539,nm0931783,nm0947568,nm0025265,nm0027173,nm0050858,nm0069840,nm0072745,nm0143837,nm1198517,nm0168355,nm0175333,nm0177336,nm1140632,nm0181658,nm0198143,nm0234502,nm0269623,nm0275255,nm0355597,nm0393971,nm13938394,nm0448200,nm0480708,nm1068211,nm0489636,nm6118922,nm0507760,nm0528916,nm13931376,nm4003730,nm3531031,nm3081311,nm1713441,nm4026684,nm13941457,nm13940673,nm0843253,nm0850483,nm0917783,nm0937289,nm1256337,nm0108595,nm6228503,nm2676874,nm0051304,nm0235160,nm0302904,nm6128248,nm0370152,nm0370252,nm0437189,nm1913527,nm0550635,nm0605766,nm0605870,nm0654172,nm1427923,nm0716958,nm6770013,nm1914989,nm3582606,nm5196722,nm0870677,nm0911720,nm0085552,nm6158887,nm0385992,nm0432728,nm0579391,nm6167319,nm0300366,nm1385644,nm5466512,nm0104572,nm0297190,nm0356075,nm0696319,nm0750976,nm1064816,nm6222261,nm0455852,nm0542919,nm0606510,nm0743510,nm0764588,nm0027355,nm1038792,nm0096395,nm1068202,nm0633202,nm0920890"
tt0040051,"nm0629999,nm0769874,nm0233071,nm0112939,nm0842611,nm0718467,nm0612322,nm0338719,nm0806915,nm0591173,nm0679013,nm0313221,nm0625680,nm1055550,nm0791027,nm0272214,nm0730265,nm0366578,nm0271653,nm2448858,nm2483528,nm3998298,nm0164044,nm0386619,nm0000989,nm0290866,nm0177034,nm0001486,nm0935636,nm1415576,nm0300818,nm0567170,nm0723629,nm0926012,nm12085544,nm0332381,nm12081012,nm0177356,nm0677951,nm0822570,nm0671957,nm0162777,nm1095959,nm0232401,nm0480807,nm0773693,nm0884037,nm0008030,nm0001239,nm0425593,nm0474539,nm0692872,nm0828720,nm0832254,nm0852279,nm0056582,nm0548529","nm0548529,nm0591173,nm0741627,nm0972416,nm0254641,nm0325267,nm0245943,nm0750976,nm0743510,nm0432728,nm0764588,nm0734911,nm0854789,nm0000636,nm0789675,nm0876641,nm0785245,nm0928068,nm0104572,nm1055756,nm1055755,nm0909408,nm0608399,nm0541662,nm0416556,nm0372942,nm1097476,nm0251375,nm0632873,nm1055880,nm0455852,nm0211315,nm0185614,nm0540209,nm2443137,nm2443123,nm1491929,nm2036525,nm0146896,nm0302904,nm0370152,nm0370252,nm0240452,nm0371193,nm0818649,nm0262213,nm0000683,nm0073882,nm0319663,nm0022943,nm1055561,nm0386678,nm0900570,nm2467942,nm0456017,nm0111576,nm0321872,nm0877057,nm0104503,nm2467863,nm0358591,nm0884018,nm0291128,nm0293366,nm0542531,nm0566333,nm2496388,nm0765645,nm2500922,nm1055550,nm0437189,nm0581286,nm0740426,nm2493344,nm0571450,nm0597175,nm0918061,nm0017301,nm0177034,nm2492825,nm0842582,nm0027355,nm0151452,nm0672362,nm0697362,nm0597574,nm0886668,nm0308604,nm0182689,nm2303060,nm0799442,nm1256337,nm0188353,nm1006991,nm0070360,nm0433219,nm0363492,nm0775149,nm11115235,nm0068666,nm0001276,nm1055473,nm1057759,nm0913670,nm1056742,nm0032541,nm0542631,nm0285210,nm0354150,nm0575133,nm0579781,nm0030637,nm0049721,nm0058129,nm0084644,nm0140950,nm2501800,nm0366578,nm2498564,nm2468626,nm0442151,nm0488066,nm0506349,nm1195400,nm0560857,nm2492211,nm0649055,nm0685063,nm2499844,nm0818415,nm0818416,nm3455515,nm0866243,nm0871308,nm0913244,nm0918093,nm2497816,nm0111577,nm0142629,nm0175091,nm0186118,nm0204570,nm2494441,nm0238900,nm0287973,nm2496773,nm0317350,nm2495918,nm0370426,nm0371614,nm0496467,nm2474236,nm1184259,nm2474324,nm0641979,nm0675081,nm0789758,nm0820713,nm1019658,nm12791739,nm0852331,nm0855925,nm0877957,nm0896830,nm2474288,nm0934861,nm12328526,nm4701911,nm2492299,nm0227598,nm0096394,nm18674752,nm0206487,nm0225337,nm0232615,nm1499103,nm0303335,nm11608655,nm0325386,nm0325713,nm0328959,nm0335577,nm0001294,nm0383657,nm0444706,nm2397221,nm0507282,nm0516797,nm0569423,nm0578441,nm2501835,nm1427923,nm2934543,nm0768465,nm0794964,nm0062629,nm0852726,nm3440005,nm0888099,nm0019895,nm1318185,nm0060333,nm0122446,nm0139757,nm0002005,nm0177336,nm0204499,nm0219068,nm0236546,nm0237961,nm1023688,nm0269879,nm0291046,nm0319626,nm1709303,nm0539144,nm0650581,nm2420869,nm0680474,nm2499095,nm2420752,nm0829044,nm0836318,nm2497438,nm0878494,nm0925265,nm2436495,nm0959003,nm0043480,nm0049903,nm12085113,nm12085500,nm12085506,nm0172048,nm0178459,nm0241416,nm0261911,nm0320564,nm0323869,nm0394633,nm0417511,nm0437320,nm0437969,nm0523269,nm2424205,nm12080993,nm0000567,nm12085528,nm0681052,nm12080983,nm0767902,nm0776068,nm0850483,nm0882366,nm0909884,nm0035655,nm16887453,nm6952625,nm0057489,nm1503327,nm1912068,nm0129797,nm2423059,nm3403014,nm0269623,nm1713442,nm0356075,nm2775409,nm0492982,nm0504358,nm0512933,nm1713431,nm3344744,nm2476417,nm0624846,nm4992348,nm0696190,nm12080840,nm16514275,nm2934245,nm12337805,nm0950650,nm0963342,nm0169125,nm0203286,nm0246959,nm0255371,nm0333858,nm0335766,nm12080854,nm1057743,nm3110634,nm12080884,nm0410877,nm0557646,nm0654135,nm2844756,nm0671984,nm0748111,nm0802561,nm0818961,nm0842643,nm0894579,nm0996167,nm1056735,nm1057725,nm0103669,nm1055200,nm0265442,nm1057735,nm0969180,nm1055506,nm1055513,nm1057744,nm0383604,nm12080816,nm0441328,nm12080833,nm0549654,nm0563095,nm0574073,nm0664251,nm0680698,nm7792791,nm0732631,nm1056754,nm12080830,nm0819076,nm0825705,nm0832099,nm0860565,nm1056335,nm1056409,nm0947394,nm0018658,nm0015899,nm1057726,nm0107448,nm0140987,nm0151690,nm4192975,nm0174549,nm0275848,nm1057739,nm0364412,nm0531792,nm0548893,nm0573845,nm0588458,nm1057754,nm0612239,nm0718448,nm0721913,nm1057768,nm0800294,nm0908526,nm0928819,nm0946836,nm5550748,nm2433968,nm0060307,nm0089169,nm0139218,nm0153777,nm0204818,nm0233577,nm0236544,nm0344709,nm0397220,nm0439922,nm0484923,nm0488956,nm0506201,nm0567613,nm0569950,nm1055881,nm0696189,nm0712029,nm1056753,nm0787323,nm0823465,nm0828562,nm0915873,nm0922060,nm0633202,nm1068491,nm0446403,nm0458379,nm1056204"
